hour,minute
5,0
5,19
5,41
5,59
6,14
6,24
6,33
6,42
6,47
6,55
6,59
7,3
7,7
7,11
7,15
7,19
7,24
7,28
7,33
7,38
7,43
7,48
7,52
7,57
8,3
8,6
8,11
8,14
8,19
8,23
8,27
8,31
8,35
8,43
8,50
8,58
9,7
9,16
9,26
9,36
9,44
9,52
10,2
10,12
10,22
10,32
10,42
10,52
11,2
11,12
11,22
11,32
11,42
11,52
12,2
12,12
12,22
12,32
12,42
12,52
13,2
13,12
13,22
13,32
13,42
13,52
14,2
14,12
14,22
14,32
14,42
14,52
15,2
15,12
15,22
15,32
15,42
15,52
16,2
16,12
16,22
16,32
16,42
16,50
16,55
17,1
17,9
17,16
17,24
17,32
17,41
17,51
18,1
18,10
18,18
18,25
18,32
18,39
18,46
18,54
19,2
19,10
19,18
19,26
19,33
19,40
19,47
19,55
20,2
20,10
20,17
20,25
20,34
20,44
20,54
21,4
21,11
21,17
21,27
21,37
21,47
21,57
22,9
22,21
22,33
22,47
22,56
23,8
23,21
23,32
23,46
23,58
0,11
0,24
0,35
