hour,minute
4,50
5,12
5,32
5,43
5,54
6,6
6,20
6,31
6,44
6,51
6,58
7,4
7,10
7,18
7,25
7,32
7,41
7,51
8,1
8,11
8,21
8,31
8,41
8,51
9,1
9,11
9,21
9,31
9,41
9,51
10,1
10,11
10,21
10,31
10,41
10,51
11,1
11,11
11,21
11,31
11,41
11,51
12,1
12,11
12,21
12,31
12,41
12,51
13,1
13,11
13,21
13,31
13,41
13,51
14,1
14,11
14,21
14,31
14,41
14,51
15,1
15,11
15,21
15,31
15,41
15,51
16,1
16,11
16,21
16,31
16,41
16,51
17,1
17,11
17,21
17,31
17,41
17,51
18,1
18,11
18,22
18,33
18,43
18,53
19,3
19,13
19,23
19,33
19,44
19,55
20,6
20,15
20,28
20,41
20,56
21,10
21,23
21,36
21,48
22,1
22,12
22,24
22,36
22,48
23,1
23,12
23,25
23,38
23,48
0,2
0,14
0,36
