hour,minute
5,8
5,38
5,54
6,5
6,22
6,34
6,44
6,54
7,4
7,14
7,24
7,34
7,44
7,52
8,1
8,11
8,21
8,31
8,41
8,51
9,1
9,11
9,21
9,31
9,41
9,51
10,1
10,11
10,21
10,31
10,41
10,51
11,1
11,11
11,21
11,31
11,41
11,51
12,1
12,11
12,21
12,31
12,41
12,51
13,1
13,11
13,21
13,31
13,41
13,51
14,1
14,11
14,21
14,31
14,41
14,51
15,1
15,11
15,21
15,31
15,41
15,51
16,1
16,11
16,21
16,31
16,41
16,51
17,1
17,11
17,21
17,32
17,43
17,53
18,3
18,7
18,13
18,23
18,28
18,33
18,42
18,51
19,1
19,10
19,20
19,30
19,40
19,50
20,2
20,14
20,26
20,40
20,53
21,6
21,17
21,28
21,41
21,54
22,6
22,18
22,29
22,42
22,56
23,5
23,17
23,30
23,41
23,54
0,6
0,19
0,32
0,43
