hour,minute
4,50
5,12
5,32
5,50
6,3
6,15
6,23
6,30
6,37
6,41
6,45
6,49
6,53
6,57
7,2
7,6
7,11
7,15
7,20
7,24
7,29
7,34
7,38
7,42
7,47
7,52
7,57
8,1
8,5
8,9
8,13
8,17
8,22
8,29
8,38
8,46
8,53
9,2
9,12
9,18
9,25
9,32
9,38
9,44
9,52
10,1
10,11
10,21
10,31
10,41
10,51
11,1
11,11
11,21
11,31
11,41
11,51
12,1
12,11
12,21
12,31
12,41
12,51
13,1
13,11
13,21
13,31
13,41
13,51
14,1
14,11
14,21
14,31
14,41
14,51
15,1
15,11
15,21
15,31
15,41
15,51
16,1
16,11
16,21
16,31
16,41
16,51
17,1
17,11
17,21
17,31
17,41
17,51
17,59
18,7
18,14
18,22
18,29
18,37
18,45
18,53
19,1
19,9
19,16
19,23
19,30
19,37
19,44
19,51
19,58
20,6
20,14
20,22
20,33
20,41
20,49
20,58
21,6
21,16
21,27
21,37
21,48
22,0
22,12
22,23
22,36
22,48
23,1
23,12
23,25
23,38
23,48
0,2
0,14
0,36
