hour,minute
5,8
5,27
5,49
6,7
6,22
6,32
6,41
6,50
6,55
7,3
7,7
7,11
7,15
7,19
7,23
7,27
7,32
7,36
7,41
7,46
7,51
7,56
8,0
8,5
8,11
8,14
8,19
8,22
8,27
8,31
8,35
8,39
8,44
8,51
8,59
9,7
9,15
9,25
9,34
9,44
9,52
10,1
10,11
10,21
10,31
10,41
10,51
11,1
11,11
11,21
11,31
11,41
11,51
12,1
12,11
12,21
12,31
12,41
12,51
13,1
13,11
13,21
13,31
13,41
13,51
14,1
14,11
14,21
14,31
14,41
14,51
15,1
15,11
15,21
15,31
15,41
15,51
16,1
16,11
16,21
16,31
16,41
16,51
16,58
17,4
17,9
17,17
17,25
17,33
17,41
17,50
18,0
18,9
18,18
18,26
18,33
18,40
18,47
18,55
19,3
19,11
19,19
19,27
19,34
19,41
19,49
19,56
20,3
20,11
20,18
20,26
20,34
20,43
20,52
21,2
21,12
21,19
21,25
21,35
21,45
21,55
22,6
22,18
22,29
22,42
22,56
23,5
23,17
23,30
23,41
23,54
0,6
0,19
0,32
0,43
