hour,minute
4,49
5,11
5,31
5,42
5,53
6,5
6,19
6,30
6,43
6,50
6,57
7,3
7,9
7,17
7,24
7,31
7,40
7,50
8,0
8,10
8,20
8,30
8,40
8,50
9,0
9,10
9,20
9,30
9,40
9,50
10,0
10,10
10,20
10,30
10,40
10,50
11,0
11,10
11,20
11,30
11,40
11,50
12,0
12,10
12,20
12,30
12,40
12,50
13,0
13,10
13,20
13,30
13,40
13,50
14,0
14,10
14,20
14,30
14,40
14,50
15,0
15,10
15,20
15,30
15,40
15,50
16,0
16,10
16,20
16,30
16,40
16,50
17,0
17,10
17,20
17,30
17,40
17,50
18,0
18,10
18,21
18,32
18,42
18,52
19,2
19,12
19,22
19,32
19,43
19,54
20,5
20,14
20,27
20,40
20,55
21,9
21,22
21,35
21,47
22,0
22,11
22,23
22,35
22,47
23,0
23,11
23,24
23,37
23,47
0,1
0,13
0,35
