hour,minute
5,9
5,39
5,56
6,7
6,24
6,35
6,45
6,55
7,5
7,15
7,25
7,35
7,45
7,54
8,2
8,12
8,22
8,32
8,42
8,52
9,2
9,12
9,22
9,32
9,42
9,52
10,2
10,12
10,22
10,32
10,42
10,52
11,2
11,12
11,22
11,32
11,42
11,52
12,2
12,12
12,22
12,32
12,42
12,52
13,2
13,12
13,22
13,32
13,42
13,52
14,2
14,12
14,22
14,32
14,42
14,52
15,2
15,12
15,22
15,32
15,42
15,52
16,2
16,12
16,22
16,32
16,42
16,52
17,2
17,12
17,22
17,33
17,44
17,54
18,4
18,9
18,14
18,24
18,29
18,34
18,44
18,53
19,2
19,12
19,22
19,32
19,42
19,52
20,4
20,16
20,28
20,42
20,55
21,8
21,18
21,30
21,42
21,55
22,7
22,19
22,31
22,43
22,57
23,6
23,18
23,31
23,42
23,56
0,8
0,21
0,34
0,44
