hour,minute
4,49
5,11
5,31
5,49
6,2
6,14
6,22
6,29
6,36
6,40
6,44
6,48
6,52
6,56
7,1
7,5
7,10
7,14
7,19
7,23
7,28
7,33
7,37
7,41
7,46
7,51
7,56
8,0
8,4
8,8
8,12
8,16
8,21
8,28
8,37
8,45
8,52
9,1
9,11
9,17
9,24
9,31
9,37
9,43
9,51
10,0
10,10
10,20
10,30
10,40
10,50
11,0
11,10
11,20
11,30
11,40
11,50
12,0
12,10
12,20
12,30
12,40
12,50
13,0
13,10
13,20
13,30
13,40
13,50
14,0
14,10
14,20
14,30
14,40
14,50
15,0
15,10
15,20
15,30
15,40
15,50
16,0
16,10
16,20
16,30
16,40
16,50
17,0
17,10
17,20
17,30
17,40
17,50
17,58
18,6
18,13
18,21
18,28
18,36
18,44
18,52
19,0
19,8
19,15
19,22
19,29
19,36
19,43
19,50
19,57
20,5
20,13
20,21
20,32
20,40
20,48
20,57
21,5
21,15
21,26
21,36
21,47
21,59
22,11
22,22
22,35
22,47
23,0
23,11
23,24
23,37
23,47
0,1
0,13
0,35
