hour,minute
5,9
5,29
5,50
6,9
6,24
6,34
6,43
6,51
6,57
7,4
7,9
7,13
7,17
7,21
7,25
7,29
7,33
7,38
7,42
7,47
7,52
7,58
8,1
8,6
8,12
8,16
8,20
8,24
8,29
8,33
8,37
8,41
8,45
8,53
9,0
9,8
9,17
9,26
9,36
9,46
9,54
10,2
10,12
10,22
10,32
10,42
10,52
11,2
11,12
11,22
11,32
11,42
11,52
12,2
12,12
12,22
12,32
12,42
12,52
13,2
13,12
13,22
13,32
13,42
13,52
14,2
14,12
14,22
14,32
14,42
14,52
15,2
15,12
15,22
15,32
15,42
15,52
16,2
16,12
16,22
16,32
16,42
16,52
17,0
17,5
17,11
17,19
17,26
17,34
17,42
17,51
18,1
18,11
18,20
18,28
18,35
18,42
18,49
18,56
19,4
19,12
19,20
19,28
19,36
19,43
19,50
19,57
20,5
20,12
20,20
20,27
20,35
20,44
20,54
21,4
21,14
21,21
21,27
21,37
21,47
21,57
22,7
22,19
22,31
22,43
22,57
23,6
23,18
23,31
23,42
23,56
0,8
0,21
0,34
0,44
