hour,minute
5,11
5,45
6,9
6,29
6,36
6,48
6,56
7,3
7,10
7,19
7,29
7,39
7,49
7,59
8,9
8,19
8,29
8,39
8,49
8,59
9,9
9,19
9,29
9,39
9,49
9,59
10,9
10,19
10,29
10,39
10,49
10,59
11,9
11,19
11,29
11,39
11,49
11,59
12,9
12,19
12,29
12,39
12,49
12,59
13,9
13,19
13,29
13,39
13,49
13,59
14,9
14,19
14,29
14,39
14,49
14,59
15,9
15,19
15,29
15,39
15,49
15,59
16,9
16,19
16,29
16,39
16,49
16,59
17,9
17,19
17,29
17,39
17,49
17,59
18,8
18,12
18,22
18,32
18,42
18,52
19,2
19,12
19,23
19,34
19,45
19,53
20,6
20,14
20,19
20,27
20,35
20,49
21,2
21,15
21,27
21,39
21,51
22,3
22,14
22,27
22,40
22,50
23,3
23,17
23,26
23,40
23,53
0,6
0,14
0,27
0,39
0,50
