hour,minute
4,42
5,11
5,29
5,46
5,59
6,16
6,27
6,35
6,44
6,56
7,6
7,16
7,26
7,36
7,46
7,56
8,6
8,14
8,23
8,29
8,33
8,43
8,53
9,3
9,13
9,23
9,33
9,43
9,53
10,3
10,13
10,23
10,33
10,43
10,53
11,3
11,13
11,23
11,33
11,43
11,53
12,3
12,13
12,23
12,33
12,43
12,53
13,3
13,13
13,23
13,33
13,43
13,53
14,3
14,13
14,23
14,33
14,43
14,53
15,3
15,13
15,23
15,33
15,43
15,53
16,3
16,13
16,23
16,33
16,43
16,53
17,3
17,13
17,23
17,33
17,43
17,54
18,5
18,15
18,25
18,35
18,45
18,55
19,4
19,13
19,22
19,32
19,42
19,52
20,2
20,12
20,24
20,36
20,48
21,2
21,15
21,28
21,38
21,50
22,2
22,15
22,27
22,39
22,51
23,3
23,17
23,26
23,38
23,51
0,2
0,16
0,28
