hour,minute
5,11
5,42
6,0
6,8
6,18
6,26
6,33
6,43
6,53
7,1
7,6
7,11
7,15
7,20
7,25
7,29
7,34
7,38
7,42
7,46
7,50
7,54
7,58
8,2
8,6
8,11
8,15
8,20
8,24
8,30
8,36
8,40
8,45
8,50
8,56
9,3
9,10
9,16
9,22
9,30
9,39
9,49
9,59
10,9
10,19
10,29
10,39
10,49
10,59
11,9
11,19
11,29
11,39
11,49
11,59
12,9
12,19
12,29
12,39
12,49
12,59
13,9
13,19
13,29
13,39
13,49
13,59
14,9
14,19
14,29
14,39
14,49
14,59
15,9
15,19
15,29
15,39
15,49
15,59
16,9
16,19
16,29
16,39
16,49
16,59
17,9
17,19
17,29
17,38
17,45
17,53
18,0
18,8
18,15
18,23
18,31
18,39
18,47
18,54
19,1
19,8
19,15
19,22
19,29
19,36
19,44
19,52
20,0
20,6
20,11
20,19
20,27
20,36
20,45
20,54
21,0
21,5
21,15
21,26
21,34
21,39
21,51
22,2
22,14
22,27
22,34
22,40
22,50
23,3
23,17
23,26
23,40
23,53
0,6
0,14
0,27
0,39
0,50
