hour,minute
4,42
5,11
5,29
5,41
5,49
5,59
6,10
6,18
6,25
6,29
6,36
6,44
6,50
6,54
6,59
7,3
7,8
7,13
7,17
7,21
7,25
7,29
7,33
7,37
7,41
7,45
7,49
7,54
7,58
8,3
8,8
8,13
8,18
8,22
8,27
8,33
8,41
8,49
8,57
9,6
9,13
9,21
9,29
9,37
9,47
9,56
10,6
10,14
10,23
10,33
10,43
10,53
11,3
11,13
11,23
11,33
11,43
11,53
12,3
12,13
12,23
12,33
12,43
12,53
13,3
13,13
13,23
13,33
13,43
13,53
14,3
14,13
14,23
14,33
14,43
14,53
15,3
15,13
15,23
15,33
15,43
15,53
16,3
16,13
16,23
16,33
16,43
16,53
17,3
17,13
17,21
17,31
17,39
17,47
17,55
18,3
18,11
18,21
18,27
18,31
18,40
18,48
18,55
19,2
19,9
19,16
19,24
19,32
19,40
19,48
19,56
20,3
20,11
20,18
20,25
20,32
20,40
20,47
20,55
21,4
21,14
21,24
21,35
21,47
21,57
22,7
22,17
22,27
22,39
22,51
23,3
23,17
23,26
23,38
23,51
0,2
0,16
0,28
