hour,minute
4,58
5,20
5,42
5,53
6,3
6,13
6,22
6,29
6,43
6,51
6,59
7,7
7,13
7,18
7,25
7,31
7,29
7,44
7,49
7,51
7,56
8,2
8,8
8,15
8,20
8,27
8,32
8,29
8,46
8,51
8,56
9,1
9,6
9,14
9,18
9,23
9,29
9,31
9,25
9,41
9,45
9,49
9,55
9,59
10,3
10,9
10,14
10,18
10,25
10,29
10,33
10,40
10,44
10,49
10,55
10,59
11,4
11,10
11,14
11,18
11,25
11,29
11,24
11,40
11,44
11,49
11,55
11,59
12,3
12,10
12,14
12,18
12,25
12,29
12,33
12,40
12,44
12,49
12,55
12,59
13,3
13,10
13,14
13,18
13,25
13,29
13,23
13,40
13,44
13,49
13,55
13,59
14,4
14,10
14,14
14,18
14,25
14,29
14,33
14,40
14,44
14,49
14,55
14,59
15,3
15,10
15,14
15,18
15,25
15,29
15,23
15,40
15,44
15,49
15,55
15,59
16,3
16,10
16,14
16,18
16,25
16,29
16,33
16,40
16,44
16,49
16,56
17,0
17,5
17,10
17,15
17,19
17,25
17,29
17,24
17,41
17,45
17,50
17,55
18,0
18,3
18,10
18,14
18,19
18,26
18,20
18,24
18,41
18,45
18,49
18,55
18,59
19,4
19,15
19,20
19,26
19,20
19,23
19,29
19,46
19,51
19,55
20,0
20,6
20,16
20,22
20,29
20,23
20,44
20,50
20,57
21,2
21,7
21,13
21,19
21,26
21,31
21,37
21,42
21,50
21,56
22,1
22,6
22,12
22,19
22,26
22,33
22,40
22,49
22,56
23,3
23,19
23,26
23,24
23,42
23,49
23,57
0,4
0,10
0,23
