hour,minute
5,9
5,43
6,6
6,26
6,33
6,45
6,53
7,0
7,7
7,17
7,27
7,37
7,47
7,57
8,7
8,17
8,27
8,37
8,47
8,57
9,7
9,17
9,27
9,37
9,47
9,57
10,7
10,17
10,27
10,37
10,47
10,57
11,7
11,17
11,27
11,37
11,47
11,57
12,7
12,17
12,27
12,37
12,47
12,57
13,7
13,17
13,27
13,37
13,47
13,57
14,7
14,17
14,27
14,37
14,47
14,57
15,7
15,17
15,27
15,37
15,47
15,57
16,7
16,17
16,27
16,37
16,47
16,57
17,7
17,17
17,27
17,37
17,47
17,57
18,5
18,9
18,19
18,29
18,39
18,49
18,59
19,9
19,20
19,31
19,42
19,51
20,3
20,11
20,16
20,25
20,32
20,46
20,59
21,12
21,24
21,37
21,48
22,0
22,12
22,24
22,37
22,48
23,1
23,14
23,24
23,38
23,50
0,4
0,12
0,24
0,36
0,48
