hour,minute
4,44
5,13
5,32
5,48
6,2
6,18
6,30
6,38
6,47
6,58
7,8
7,18
7,28
7,38
7,48
7,58
8,8
8,17
8,25
8,31
8,35
8,45
8,55
9,5
9,15
9,25
9,35
9,45
9,55
10,5
10,15
10,25
10,35
10,45
10,55
11,5
11,15
11,25
11,35
11,45
11,55
12,5
12,15
12,25
12,35
12,45
12,55
13,5
13,15
13,25
13,35
13,45
13,55
14,5
14,15
14,25
14,35
14,45
14,55
15,5
15,15
15,25
15,35
15,45
15,55
16,5
16,15
16,25
16,35
16,45
16,55
17,5
17,15
17,25
17,35
17,45
17,56
18,8
18,18
18,28
18,38
18,48
18,58
19,7
19,15
19,25
19,34
19,44
19,54
20,4
20,14
20,26
20,38
20,50
21,4
21,17
21,30
21,41
21,52
22,5
22,18
22,30
22,42
22,53
23,6
23,20
23,29
23,41
23,54
0,5
0,18
0,30
