hour,minute
5,9
5,40
5,58
6,6
6,16
6,24
6,31
6,41
6,51
6,59
7,4
7,9
7,13
7,18
7,23
7,27
7,32
7,36
7,40
7,44
7,48
7,52
7,56
8,0
8,4
8,9
8,13
8,18
8,22
8,28
8,33
8,37
8,42
8,48
8,54
9,1
9,7
9,13
9,20
9,27
9,37
9,47
9,57
10,7
10,17
10,27
10,37
10,47
10,57
11,7
11,17
11,27
11,37
11,47
11,57
12,7
12,17
12,27
12,37
12,47
12,57
13,7
13,17
13,27
13,37
13,47
13,57
14,7
14,17
14,27
14,37
14,47
14,57
15,7
15,17
15,27
15,37
15,47
15,57
16,7
16,17
16,27
16,37
16,47
16,57
17,7
17,17
17,27
17,35
17,43
17,50
17,58
18,5
18,13
18,21
18,29
18,37
18,44
18,51
18,58
19,5
19,12
19,19
19,26
19,34
19,42
19,50
19,58
20,4
20,9
20,17
20,25
20,33
20,42
20,51
20,58
21,3
21,13
21,23
21,31
21,36
21,48
21,59
22,12
22,24
22,31
22,37
22,48
23,1
23,14
23,24
23,38
23,50
0,4
0,12
0,24
0,36
0,48
