hour,minute
4,44
5,13
5,32
5,43
5,51
6,1
6,13
6,20
6,27
6,32
6,39
6,47
6,53
6,57
7,2
7,6
7,11
7,16
7,20
7,24
7,28
7,32
7,36
7,40
7,44
7,48
7,52
7,57
8,1
8,6
8,11
8,16
8,21
8,25
8,30
8,36
8,44
8,52
9,0
9,8
9,16
9,23
9,31
9,40
9,49
9,59
10,9
10,17
10,25
10,35
10,45
10,55
11,5
11,15
11,25
11,35
11,45
11,55
12,5
12,15
12,25
12,35
12,45
12,55
13,5
13,15
13,25
13,35
13,45
13,55
14,5
14,15
14,25
14,35
14,45
14,55
15,5
15,15
15,25
15,35
15,45
15,55
16,5
16,15
16,25
16,35
16,45
16,55
17,5
17,15
17,24
17,34
17,42
17,50
17,57
18,5
18,14
18,24
18,29
18,34
18,42
18,50
18,57
19,4
19,11
19,19
19,27
19,35
19,43
19,51
19,58
20,6
20,14
20,20
20,27
20,35
20,42
20,50
20,58
21,7
21,16
21,26
21,37
21,49
21,59
22,9
22,19
22,30
22,42
22,53
23,6
23,20
23,29
23,41
23,54
0,5
0,18
0,30
