hour,minute
4,55
5,16
5,37
5,48
5,59
6,11
6,25
6,36
6,49
6,56
7,3
7,9
7,15
7,23
7,30
7,37
7,46
7,56
8,6
8,16
8,26
8,36
8,46
8,56
9,6
9,16
9,26
9,36
9,46
9,56
10,6
10,16
10,26
10,36
10,46
10,56
11,6
11,16
11,26
11,36
11,46
11,56
12,6
12,16
12,26
12,36
12,46
12,56
13,6
13,16
13,26
13,36
13,46
13,56
14,6
14,16
14,26
14,36
14,46
14,56
15,6
15,16
15,26
15,36
15,46
15,56
16,6
16,16
16,26
16,36
16,46
16,56
17,6
17,16
17,26
17,36
17,46
17,56
18,6
18,16
18,27
18,38
18,48
18,58
19,8
19,18
19,28
19,38
19,49
20,0
20,11
20,19
20,32
20,45
21,1
21,15
21,28
21,41
21,53
22,5
22,17
22,29
22,40
22,53
23,6
23,16
23,29
23,43
23,52
0,6
0,19
0,40
