hour,minute
5,4
5,34
5,50
6,1
6,18
6,29
6,39
6,49
6,59
7,9
7,19
7,29
7,39
7,48
7,56
8,6
8,16
8,26
8,36
8,46
8,56
9,6
9,16
9,26
9,36
9,46
9,56
10,6
10,16
10,26
10,36
10,46
10,56
11,6
11,16
11,26
11,36
11,46
11,56
12,6
12,16
12,26
12,36
12,46
12,56
13,6
13,16
13,26
13,36
13,46
13,56
14,6
14,16
14,26
14,36
14,46
14,56
15,6
15,16
15,26
15,36
15,46
15,56
16,6
16,16
16,26
16,36
16,46
16,56
17,6
17,16
17,27
17,38
17,48
17,58
18,3
18,8
18,18
18,23
18,28
18,38
18,47
18,56
19,6
19,16
19,26
19,36
19,46
19,58
20,10
20,22
20,36
20,49
21,2
21,12
21,24
21,36
21,49
22,1
22,13
22,25
22,37
22,51
23,0
23,12
23,25
23,36
23,50
0,2
0,15
0,28
0,39
