hour,minute
4,55
5,16
5,37
5,54
6,8
6,19
6,28
6,35
6,42
6,46
6,50
6,54
6,58
7,2
7,7
7,11
7,16
7,20
7,25
7,29
7,34
7,39
7,43
7,47
7,52
7,57
8,2
8,6
8,10
8,14
8,18
8,22
8,27
8,34
8,43
8,51
8,58
9,7
9,17
9,23
9,30
9,37
9,43
9,49
9,57
10,6
10,16
10,26
10,36
10,46
10,56
11,6
11,16
11,26
11,36
11,46
11,56
12,6
12,16
12,26
12,36
12,46
12,56
13,6
13,16
13,26
13,36
13,46
13,56
14,6
14,16
14,26
14,36
14,46
14,56
15,6
15,16
15,26
15,36
15,46
15,56
16,6
16,16
16,26
16,36
16,46
16,56
17,6
17,16
17,26
17,35
17,45
17,55
18,4
18,11
18,19
18,26
18,34
18,42
18,50
18,58
19,6
19,13
19,20
19,27
19,34
19,41
19,48
19,55
20,3
20,11
20,19
20,27
20,38
20,46
20,54
21,2
21,11
21,20
21,31
21,41
21,53
22,5
22,17
22,28
22,40
22,53
23,6
23,16
23,29
23,43
23,52
0,6
0,19
0,40
