hour,minute
5,4
5,23
5,45
6,3
6,18
6,28
6,37
6,46
6,51
6,59
7,3
7,7
7,11
7,15
7,19
7,23
7,28
7,32
7,37
7,42
7,47
7,52
7,56
8,1
8,7
8,10
8,15
8,18
8,23
8,27
8,31
8,35
8,39
8,47
8,54
9,2
9,11
9,20
9,30
9,40
9,48
9,56
10,6
10,16
10,26
10,36
10,46
10,56
11,6
11,16
11,26
11,36
11,46
11,56
12,6
12,16
12,26
12,36
12,46
12,56
13,6
13,16
13,26
13,36
13,46
13,56
14,6
14,16
14,26
14,36
14,46
14,56
15,6
15,16
15,26
15,36
15,46
15,56
16,6
16,16
16,26
16,36
16,46
16,54
16,59
17,5
17,13
17,20
17,28
17,36
17,45
17,55
18,5
18,14
18,22
18,29
18,36
18,43
18,50
18,58
19,6
19,14
19,22
19,30
19,37
19,44
19,51
19,59
20,6
20,14
20,21
20,29
20,38
20,48
20,58
21,8
21,15
21,21
21,31
21,41
21,51
22,1
22,13
22,25
22,37
22,51
23,0
23,12
23,25
23,36
23,50
0,2
0,15
0,28
0,39
