hour,minute
4,52
5,13
5,34
5,51
6,5
6,16
6,25
6,32
6,39
6,43
6,47
6,51
6,55
6,59
7,4
7,8
7,13
7,17
7,22
7,26
7,31
7,36
7,40
7,44
7,49
7,54
7,59
8,3
8,7
8,11
8,15
8,19
8,24
8,31
8,40
8,48
8,55
9,4
9,14
9,20
9,27
9,34
9,40
9,46
9,54
10,3
10,13
10,23
10,33
10,43
10,53
11,3
11,13
11,23
11,33
11,43
11,53
12,3
12,13
12,23
12,33
12,43
12,53
13,3
13,13
13,23
13,33
13,43
13,53
14,3
14,13
14,23
14,33
14,43
14,53
15,3
15,13
15,23
15,33
15,43
15,53
16,3
16,13
16,23
16,33
16,43
16,53
17,3
17,13
17,23
17,32
17,42
17,52
18,1
18,8
18,16
18,23
18,31
18,39
18,47
18,55
19,3
19,10
19,17
19,24
19,31
19,38
19,45
19,52
20,0
20,8
20,16
20,24
20,35
20,43
20,51
20,59
21,8
21,17
21,28
21,38
21,50
22,2
22,14
22,25
22,37
22,50
23,3
23,13
23,26
23,40
23,49
0,3
0,16
0,37
