hour,minute
4,52
5,13
5,34
5,45
5,56
6,8
6,22
6,33
6,46
6,53
7,0
7,6
7,12
7,20
7,27
7,34
7,43
7,53
8,3
8,13
8,23
8,33
8,43
8,53
9,3
9,13
9,23
9,33
9,43
9,53
10,3
10,13
10,23
10,33
10,43
10,53
11,3
11,13
11,23
11,33
11,43
11,53
12,3
12,13
12,23
12,33
12,43
12,53
13,3
13,13
13,23
13,33
13,43
13,53
14,3
14,13
14,23
14,33
14,43
14,53
15,3
15,13
15,23
15,33
15,43
15,53
16,3
16,13
16,23
16,33
16,43
16,53
17,3
17,13
17,23
17,33
17,43
17,53
18,3
18,13
18,24
18,35
18,45
18,55
19,5
19,15
19,25
19,35
19,46
19,57
20,8
20,16
20,29
20,42
20,58
21,12
21,25
21,38
21,50
22,2
22,14
22,26
22,37
22,50
23,3
23,13
23,26
23,40
23,49
0,3
0,16
0,37
