hour,minute
5,6
5,26
5,47
6,6
6,21
6,31
6,40
6,48
6,54
7,1
7,6
7,10
7,14
7,18
7,22
7,26
7,30
7,35
7,39
7,44
7,49
7,55
7,58
8,3
8,9
8,13
8,17
8,21
8,26
8,30
8,34
8,38
8,42
8,50
8,57
9,5
9,14
9,23
9,33
9,43
9,51
9,59
10,9
10,19
10,29
10,39
10,49
10,59
11,9
11,19
11,29
11,39
11,49
11,59
12,9
12,19
12,29
12,39
12,49
12,59
13,9
13,19
13,29
13,39
13,49
13,59
14,9
14,19
14,29
14,39
14,49
14,59
15,9
15,19
15,29
15,39
15,49
15,59
16,9
16,19
16,29
16,39
16,49
16,57
17,2
17,8
17,16
17,23
17,31
17,39
17,48
17,58
18,8
18,17
18,25
18,32
18,39
18,46
18,53
19,1
19,9
19,17
19,25
19,33
19,40
19,47
19,54
20,2
20,9
20,17
20,24
20,32
20,41
20,51
21,1
21,11
21,18
21,24
21,34
21,44
21,54
22,4
22,16
22,28
22,40
22,54
23,3
23,15
23,28
23,39
23,53
0,5
0,18
0,31
0,41
