hour,minute
5,6
5,36
5,53
6,4
6,21
6,32
6,42
6,52
7,2
7,12
7,22
7,32
7,42
7,51
7,59
8,9
8,19
8,29
8,39
8,49
8,59
9,9
9,19
9,29
9,39
9,49
9,59
10,9
10,19
10,29
10,39
10,49
10,59
11,9
11,19
11,29
11,39
11,49
11,59
12,9
12,19
12,29
12,39
12,49
12,59
13,9
13,19
13,29
13,39
13,49
13,59
14,9
14,19
14,29
14,39
14,49
14,59
15,9
15,19
15,29
15,39
15,49
15,59
16,9
16,19
16,29
16,39
16,49
16,59
17,9
17,19
17,30
17,41
17,51
18,1
18,06
18,11
18,21
18,26
18,31
18,41
18,50
18,59
19,9
19,19
19,29
19,39
19,49
20,1
20,13
20,25
20,39
20,52
21,5
21,15
21,27
21,39
21,52
22,4
22,16
22,28
22,40
22,54
23,3
23,15
23,28
23,39
23,53
0,5
0,18
0,31
0,41
